שם יישוב,שם יישוב,סמל,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2013,יהודים ואחרים,יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,תעתיק פרסומים,שנת עיבוד,שדה לקישור
כמון,כמון,1201,KAMMON                                            ,2,24,242,56,,1,1326,1.3,1.3,,1980                ,370,7,2338975727,561,205,1310,Kammon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1201
כנות,כנות,2006,KANNOT                                            ,6,61,611,33,143,1,267,0.3,0.2,,1952                ,340,,1766263444,69,616,3830,Kannot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2006
כנף,כנף,4028,KANAF                                             ,2,29,293,71,,1,387,0.4,0.4,,1991                ,310,1,2658275286,291,219,1270,Kanaf,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4028
כנרת (מושבה),כנרת (מושבה),63,KINNERET(MOSHAVA)                                 ,2,22,221,6,,1,633,0.6,0.6,,1909                ,350,,2532473678,-73,251,1240,Kinneret(Moshava),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=63
כנרת (קבוצה),כנרת (קבוצה),57,KINNERET(QEVUZA)                                  ,2,22,221,6,,1,665,0.7,0.6,,1908                ,330,15,2529873551,-171,214,1240,Kinneret(Qevuza),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=57
כסיפה,כסיפה,1059,KUSEIFE                                           ,6,62,623,99,,2,18124,,,18.1,,270,,2082157245,465,653,3481,Kuseife,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1059
כסלון,כסלון,859,KESALON                                           ,1,11,111,26,444,1,441,0.4,0.4,,1952                ,310,10,2047663127,606,151,7004,Kesalon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=859
כסרא-סמיע,כסרא-סמיע,1296,KISRA-SUMEI                                       ,2,24,243,99,,2,7868,,,7.9,,280,,2287976387,624,255,1320,Kisra-Sumei,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1296
כעביה-טבאש-חג'אג'רה,כעביה-טבאש-חג'אג'רה,978,KA'ABIYYE-TABBASH-HAJAJRE                         ,2,25,237,99,242,2,4762,,,4.8,,290,,2176973945,163,254,1440,Ka'abiyye-Tabbash-Hajajre,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=978
כפר אביב,כפר אביב,857,KEFAR AVIV                                        ,4,44,441,32,143,1,759,0.8,0.8,,1951                ,310,10,1736963771,45,456,5230,Kefar Aviv,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=857
כפר אדומים,כפר אדומים,3638,KEFAR ADUMMIM                                     ,7,74,,73,445,1,3722,3.7,3.7,,1979                ,190,,2327163618,279,711,4355,Kefar Adummim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3638
כפר אוריה,כפר אוריה,364,KEFAR URIYYA                                      ,1,11,112,26,444,1,895,0.9,0.9,,1944                ,310,1,1950363342,203,151,7004,Kefar Uriyya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=364
כפר אחים,כפר אחים,690,KEFAR AHIM                                        ,6,61,611,33,143,1,785,0.8,0.8,,1949                ,310,1,1770562808,54,616,3830,Kefar Ahim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=690
כפר ביאליק,כפר ביאליק,220,KEFAR BIALIK                                      ,3,31,311,12,222,1,837,0.8,0.8,,1934                ,310,,2084074740,10,301,1160,Kefar Bialik,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=220
"כפר ביל""ו","כפר ביל""ו",177,KEFAR BILU                                        ,4,44,441,30,143,1,1240,1.2,1.2,,1932                ,310,1,1836164227,63,426,5230,Kefar Bilu,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=177
כפר בלום,כפר בלום,357,KEFAR BLUM                                        ,2,21,211,1,,1,597,0.6,0.6,,1943                ,330,15,2572678641,76,253,1210,Kefar Blum,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=357
כפר בן נון,כפר בן נון,2010,KEFAR BIN NUN                                     ,4,43,432,30,143,1,635,0.6,0.6,,1952                ,310,10,1951064104,148,426,5220,Kefar Bin Nun,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2010
כפר ברא,כפר ברא,633,KAFAR BARA                                        ,4,42,422,99,142,2,3199,,,3.2,,290,,1973967086,111,451,5150,Kafar Bara,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=633
כפר ברוך,כפר ברוך,132,KEFAR BARUKH                                      ,2,23,234,9,,1,496,0.5,0.5,,1926                ,310,1,2181872798,56,254,1440,Kefar Barukh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=132
כפר גדעון,כפר גדעון,106,KEFAR GID'ON                                      ,2,23,234,9,,1,298,0.3,0.3,,1923                ,310,19,2276072774,90,254,1420,Kefar Gid'on,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=106
כפר גלים,כפר גלים,427,KEFAR GALLIM                                      ,3,31,311,15,223,1,297,0.3,0.2,,1952                ,340,,1964574128,18,399,1182,Kefar Gallim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=427
כפר גליקסון,כפר גליקסון,310,KEFAR GLIKSON                                     ,3,32,324,14,,1,283,0.3,0.3,,1939                ,330,6,2006571239,62,351,1181,Kefar Glikson,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=310
כפר גלעדי,כפר גלעדי,76,KEFAR GIL'ADI                                     ,2,21,211,1,,1,639,0.6,0.6,,1916                ,330,15,2539679416,313,253,1210,Kefar Gil'adi,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=76
כפר דניאל,כפר דניאל,707,KEFAR DANIYYEL                                    ,4,43,431,25,142,1,713,0.7,0.7,,1949                ,320,15,1937364901,96,424,5280,Kefar Daniyyel,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=707
כפר האורנים,כפר האורנים,3796,KEFAR HAORANIM                                    ,7,74,,73,,1,2667,2.7,2.7,,1998                ,190,,2036864739,300,711,4354,Kefar HaOranim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3796
כפר החורש,כפר החורש,192,KEFAR HAHORESH                                    ,2,23,237,9,,1,573,0.6,0.6,,1933                ,330,15,2258773405,402,254,1440,Kefar HaHoresh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=192
כפר המכבי,כפר המכבי,254,KEFAR HAMAKKABBI                                  ,3,31,311,12,222,1,355,0.4,0.4,,1936                ,330,15,2111874393,28,301,1160,Kefar HaMakkabbi,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=254
כפר הנגיד,כפר הנגיד,582,KEFAR HANAGID                                     ,4,44,442,27,143,1,1216,1.2,1.2,,1949                ,310,1,1764164394,20,456,5230,Kefar HaNagid,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=582
כפר הנוער הדתי,כפר הנוער הדתי,890,KEFAR HANO'AR HADATI                              ,3,31,311,12,222,1,359,0.4,0.3,,1937                ,340,,2094973872,45,301,1160,Kefar HaNo'ar Hadati,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=890
כפר הנשיא,כפר הנשיא,443,KEFAR HANASI                                      ,2,21,213,1,,1,804,0.8,0.8,,1948                ,330,15,2567576448,265,253,1220,Kefar HaNasi,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=443
כפר הס,כפר הס,187,KEFAR HESS                                        ,4,41,411,18,141,1,1553,1.6,1.5,,1933                ,310,1,1940368370,74,412,5120,Kefar Hess,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=187
"כפר הרא""ה","כפר הרא""ה",217,KEFAR HARO'E                                      ,4,41,411,16,141,1,1259,1.3,1.3,,1934                ,310,2,1919269967,23,409,5120,Kefar HaRo'e,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=217
"כפר הרי""ף","כפר הרי""ף",888,KEFAR HARIF                                       ,6,61,611,35,,1,813,0.8,0.8,,1956                ,310,10,1804462818,70,632,3830,Kefar Harif,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=888
כפר ויתקין,כפר ויתקין,190,KEFAR VITKIN                                      ,4,41,411,16,141,1,2023,2.0,2.0,,1933                ,191,,1887369867,14,409,5120,Kefar Vitkin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=190
כפר ורבורג,כפר ורבורג,320,KEFAR WARBURG                                     ,6,61,611,33,143,1,1057,1.1,1.0,,1939                ,310,1,1741662526,54,616,3830,Kefar Warburg,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=320
כפר ורדים,כפר ורדים,1263,KEFAR WERADIM                                     ,2,24,243,99,,1,5636,5.6,5.4,,1984                ,180,,2255276677,533,255,1320,Kefar Weradim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1263
כפר זוהרים,כפר זוהרים,1325,KEFAR ZOHARIM                                     ,1,11,112,26,,,,,,,,510,,1929361436,301,151,7004,Kefar Zoharim                                     ,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1325
כפר זיתים,כפר זיתים,786,KEFAR ZETIM                                       ,2,22,222,3,,1,677,0.7,0.7,,1950                ,310,1,2437674633,51,206,1240,Kefar Zetim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=786
"כפר חב""ד","כפר חב""ד",696,KEFAR HABAD                                       ,4,43,432,40,133,1,5525,5.5,5.5,,1949                ,180,,1859965527,40,425,5210,Kefar Habad,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=696
כפר חושן,כפר חושן,609,KEFAR HOSHEN                                      ,2,21,212,2,,1,700,0.7,0.7,,1949                ,310,1,2414876857,736,209,1230,Kefar Hoshen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=609
כפר חיטים,כפר חיטים,255,KEFAR HITTIM                                      ,2,22,222,3,,1,623,0.6,0.6,,1936                ,320,1,2474174517,31,206,1240,Kefar Hittim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=255
כפר חיים,כפר חיים,193,KEFAR HAYYIM                                      ,4,41,411,16,141,1,594,0.6,0.6,,1933                ,310,1,1907569582,13,409,5120,Kefar Hayyim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=193
כפר חנניה,כפר חנניה,1297,KEFAR HANANYA                                     ,2,21,212,2,,1,637,0.6,0.6,,1990                ,370,2,2399275781,326,209,1310,Kefar Hananya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1297
כפר חסידים א',כפר חסידים א',112,KEFAR HASIDIM ALEF                                ,3,31,311,12,222,1,774,0.8,0.8,,1924                ,310,19,2089773955,14,301,1160,Kefar Hasidim Alef,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=112
כפר חסידים ב',כפר חסידים ב',889,KEFAR HASIDIM BET                                 ,3,31,311,12,222,1,234,0.2,0.2,,1950                ,350,,2084973979,17,301,1160,Kefar Hasidim Bet,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=889
כפר חרוב,כפר חרוב,4004,KEFAR HARUV                                       ,2,29,294,71,,1,328,0.3,0.3,,1974                ,330,15,2624074092,311,219,1270,Kefar Haruv,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4004
כפר טרומן,כפר טרומן,673,KEFAR TRUMAN                                      ,4,43,432,25,142,1,843,0.8,0.8,,1949                ,310,1,1929565416,56,424,5160,Kefar Truman,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=673
כפר יאסיף,כפר יאסיף,507,KAFAR YASIF                                       ,2,24,245,99,,2,9267,,,9.3,,280,,2156076212,58,252,1330,Kafar Yasif,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=507
כפר ידידיה,כפר ידידיה,233,KEFAR YEDIDYA                                     ,4,41,411,16,141,1,752,0.8,0.7,,1935                ,310,1,1906669468,24,409,5120,Kefar Yedidya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=233
כפר יהושע,כפר יהושע,140,KEFAR YEHOSHUA                                    ,2,23,235,9,,1,1080,1.1,1.1,,1927                ,310,1,2145773196,47,254,1440,Kefar Yehoshua,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=140
כפר יונה,כפר יונה,168,KEFAR YONA                                        ,4,41,411,99,141,1,20546,20.5,20.1,,1932                ,160,,1937969133,42,457,5120,Kefar Yona,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=168
כפר יחזקאל,כפר יחזקאל,85,KEFAR YEHEZQEL                                    ,2,23,232,8,,1,1091,1.1,1.1,,1921                ,310,1,2340471922,5,204,1420,Kefar Yehezqel,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=85
כפר יעבץ,כפר יעבץ,170,KEFAR YA'BEZ                                      ,4,41,411,18,141,1,635,0.6,0.6,,1932                ,310,2,1969468679,49,412,5120,Kefar Ya'bez,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=170
כפר כמא,כפר כמא,508,KAFAR KAMA                                        ,2,22,222,99,,2,3117,,,3.1,,290,,2415873637,209,251,1240,Kafar Kama,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=508
כפר כנא,כפר כנא,509,KAFAR KANNA                                       ,2,25,237,99,,2,20516,,,20.5,,260,,2323673912,229,257,1410,Kafar Kanna,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=509
כפר מונש,כפר מונש,387,KEFAR MONASH                                      ,4,41,411,16,141,1,949,0.9,0.9,,1946                ,310,1,1923169488,17,409,5120,Kefar Monash,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=387
כפר מימון,כפר מימון,1095,KEFAR MAYMON                                      ,6,62,621,39,,1,277,0.3,0.3,,1959                ,310,2,1558359360,99,653,3482,Kefar Maymon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1095
"כפר מל""ל","כפר מל""ל",98,KEFAR MALAL                                       ,4,42,421,20,131,1,335,0.3,0.3,,1922                ,310,1,1901867499,63,417,5140,Kefar Malal,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=98
כפר מנדא,כפר מנדא,510,KAFAR MANDA                                       ,2,24,241,99,,2,17714,,,17.7,,270,,2246874616,179,261,1360,Kafar Manda,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=510
כפר מנחם,כפר מנחם,274,KEFAR MENAHEM                                     ,6,61,611,35,,1,1242,1.2,1.2,,1937                ,330,15,1842562641,110,632,3830,Kefar Menahem,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=274
כפר מסריק,כפר מסריק,297,KEFAR MASARYK                                     ,2,24,246,4,241,1,730,0.7,0.7,,1938                ,330,15,2097075506,4,201,1330,Kefar Masaryk,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=297
כפר מצר,כפר מצר,512,KAFAR MISR                                        ,2,25,233,66,,2,2538,,,2.5,,290,,2398672791,111,251,1420,Kafar Misr,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=512
כפר מרדכי,כפר מרדכי,764,KEFAR MORDEKHAY                                   ,4,44,441,32,143,1,612,0.6,0.6,,1950                ,310,10,1769463769,41,456,5230,Kefar Mordekhay,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=764
כפר נטר,כפר נטר,316,KEFAR NETTER                                      ,4,41,411,19,141,1,1114,1.1,1.1,,1939                ,310,10,1881168692,24,401,5120,Kefar Netter,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=316
כפר סאלד,כפר סאלד,345,KEFAR SZOLD                                       ,2,21,211,1,,1,561,0.6,0.5,,1942                ,330,15,2617578900,122,253,1210,Kefar Szold,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=345
כפר סבא,כפר סבא,6900,KEFAR SAVA                                        ,4,42,421,0,131,1,91664,91.5,88.4,,1903                ,150,,1919567640,52,405,5140,Kefar Sava,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=6900
כפר סילבר,כפר סילבר,107,KEFAR SILVER                                      ,6,61,614,36,,1,237,0.2,0.2,,1957                ,340,,1632562022,55,633,3830,Kefar Silver,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=107
כפר סירקין,כפר סירקין,249,KEFAR SIRKIN                                      ,4,42,422,20,142,1,1262,1.3,1.3,,1936                ,310,,1930166493,41,417,5130,Kefar Sirkin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=249
כפר עבודה,כפר עבודה,875,KEFAR AVODA                                       ,4,41,411,18,141,1,285,0.3,0.3,,1942                ,340,,1946168478,70,412,5140,Kefar Avoda,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=875
כפר עזה,כפר עזה,845,KEFAR AZZA                                        ,6,61,614,37,,1,669,0.7,0.7,,1951                ,330,15,1555559925,89,653,3840,Kefar Azza,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=845
כפר עציון,כפר עציון,3488,KEFAR EZYON                                       ,7,76,,76,445,1,1022,1.0,1.0,,1967                ,330,3,2109961749,934,714,4352,Kefar Ezyon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3488
כפר פינס,כפר פינס,189,KEFAR PINES                                       ,3,32,324,14,,1,955,1.0,1.0,,1933                ,310,2,2004670999,60,351,1180,Kefar Pines,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=189
כפר קאסם,כפר קאסם,634,KAFAR QASEM                                       ,4,42,422,0,142,2,21036,,,21.0,,260,,1977566907,81,451,5150,Kafar Qasem,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=634
כפר קיש,כפר קיש,388,KEFAR KISCH                                       ,2,22,222,3,,1,482,0.5,0.5,,1946                ,310,1,2424073029,86,206,1420,Kefar Kisch,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=388
כפר קרע,כפר קרע,654,KAFAR QARA                                        ,3,32,323,99,,2,17141,,,17.1,,270,,2051371242,109,354,1450,Kafar Qara,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=654
כפר ראש הנקרה,כפר ראש הנקרה,579,KEFAR ROSH HANIQRA                                ,2,24,245,4,,1,1256,1.3,1.2,,1949                ,330,15,2109877677,33,201,1350,Kefar Rosh HaNiqra,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=579
כפר רוזנואלד (זרעית),כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT)                            ,2,24,244,52,,1,244,0.2,0.2,,1967                ,310,1,2272977831,618,255,1350,Kefar Rozenwald(Zarit),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1130
כפר רופין,כפר רופין,295,KEFAR RUPPIN                                      ,2,23,231,7,,1,430,0.4,0.4,,1938                ,330,15,2525870708,-247,202,1430,Kefar Ruppin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=295
כפר רות,כפר רות,1166,KEFAR RUT                                         ,4,43,431,25,142,1,199,0.2,0.2,,1977                ,310,1,2030464639,286,424,5290,Kefar Rut,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1166
כפר שמאי,כפר שמאי,605,KEFAR SHAMMAY                                     ,2,21,212,2,,1,425,0.4,0.4,,1949                ,310,2,2430876244,634,209,1230,Kefar Shammay,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=605
כפר שמואל,כפר שמואל,743,KEFAR SHEMU'EL                                    ,4,43,432,30,143,1,837,0.8,0.8,,1950                ,310,6,1937164417,107,426,5220,Kefar Shemu'el,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=743
כפר שמריהו,כפר שמריהו,267,KEFAR SHEMARYAHU                                  ,5,51,511,99,121,1,1799,1.8,1.7,,1937                ,350,,1833067703,31,504,2360,Kefar Shemaryahu,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=267
כפר תבור,כפר תבור,47,KEFAR TAVOR                                       ,2,22,222,99,,1,3400,3.4,3.3,,1901                ,190,,2397473249,102,251,1420,Kefar Tavor,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=47
כפר תפוח,כפר תפוח,3572,KEFAR TAPPUAH                                     ,7,73,,72,,1,916,0.9,0.9,,1978                ,370,2,2238466944,653,710,4164,Kefar Tappuah,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3572
כרכום,כרכום,1285,KARKOM                                            ,2,22,221,55,,1,581,0.6,0.6,,1988                ,370,13,2571975949,96,253,1220,Karkom,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1285
כרם בן זמרה,כרם בן זמרה,664,KEREM BEN ZIMRA                                   ,2,21,212,2,,1,439,0.4,0.4,,1949                ,310,2,2440477148,822,209,1230,Kerem Ben Zimra,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=664
כרם בן שמן,כרם בן שמן,88,KEREM BEN SHEMEN                                  ,4,43,432,25,142,1,78,0.1,0.1,,1958                ,350,,1938065173,80,424,5280,Kerem Ben Shemen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=88
כרם יבנה (ישיבה),כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA)                              ,4,44,441,29,143,1,518,0.5,0.5,,1963                ,340,,1738163628,50,456,3830,Kerem Yavne(Yeshiva),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1094
"כרם מהר""ל","כרם מהר""ל",580,KEREM MAHARAL                                     ,3,32,322,15,243,1,710,0.7,0.7,,1949                ,310,1,1993872799,93,303,1181,Kerem Maharal,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=580
כרם שלום,כרם שלום,1085,KEREM SHALOM                                      ,6,62,622,38,,1,128,0.1,0.1,,1956                ,330,15,1317857105,87,653,3430,Kerem Shalom,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1085
כרמי יוסף,כרמי יוסף,1264,KARME YOSEF                                       ,4,43,432,30,143,1,1677,1.7,1.7,,1984                ,350,,1925663946,222,426,5220,Karme Yosef,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1264
כרמי צור,כרמי צור,3766,KARME ZUR                                         ,7,77,,76,,1,975,1.0,1.0,,1984                ,370,2,2095861294,943,714,4352,Karme Zur,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3766
כרמיאל,כרמיאל,1139,KARMI'EL                                          ,2,24,242,0,,1,44715,43.6,37.5,,1964                ,160,,2276275741,270,208,1310,Karmi'el,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1139
כרמייה,כרמייה,768,KARMIYYA                                          ,6,61,614,36,,1,599,0.6,0.6,,1950                ,330,15,1565861272,29,633,3840,Karmiyya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=768
כרמים,כרמים,1198,KERAMIM                                           ,6,62,623,41,341,1,289,0.3,0.3,,1980                ,330,15,1921858239,402,625,3481,Keramim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1198
כרמל,כרמל,3656,KARMEL                                            ,7,77,,78,,1,389,0.4,0.4,,1981                ,320,11,2175759336,730,715,4352,Karmel,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3656
לבון,לבון,1207,LAVON                                             ,2,24,243,56,,1,610,0.6,0.6,,1980                ,350,,2270976073,554,205,1310,Lavon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1207
לביא,לביא,585,LAVI                                              ,2,22,222,3,,1,657,0.7,0.7,,1949                ,330,3,2417174366,299,206,1240,Lavi,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=585
לבנים,לבנים,1230,LIVNIM                                            ,2,22,221,2,,1,406,0.4,0.4,,1982                ,310,1,2466175214,-53,209,1240,Livnim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1230
להב,להב,2023,LAHAV                                             ,6,62,623,41,341,1,458,0.5,0.4,,1952                ,330,15,1875358757,455,625,3481,Lahav,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2023
להבות הבשן,להבות הבשן,380,LAHAVOT HABASHAN                                  ,2,21,211,1,,1,796,0.8,0.7,,1945                ,330,15,2607878299,88,253,1210,Lahavot HaBashan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=380
להבות חביבה,להבות חביבה,715,LAHAVOT HAVIVA                                    ,3,32,324,14,,1,888,0.9,0.9,,1949                ,330,15,2010970013,42,351,1450,Lahavot Haviva,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=715
להבים,להבים,1271,LEHAVIM                                           ,6,62,623,99,341,1,6282,6.2,6.1,,1985                ,180,,1822758650,310,619,3485,Lehavim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1271
לוד,לוד,7000,LOD                                               ,4,43,432,0,133,4,71642,51.1,45.6,20.6,1948                ,150,,1895665096,57,406,5280,Lod,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=7000
לוזית,לוזית,52,LUZIT                                             ,1,11,112,26,,1,549,0.5,0.5,,1955                ,310,1,1893262158,189,151,7004,Luzit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=52
לוחמי הגיטאות,לוחמי הגיטאות,595,LOHAME HAGETA'OT                                  ,2,24,245,4,241,1,475,0.5,0.5,,1949                ,330,15,2094776315,17,201,1350,Lohame HaGeta'ot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=595
לוטם,לוטם,1171,LOTEM                                             ,2,24,242,56,,1,623,0.6,0.6,,1978                ,330,15,2338475416,315,205,1360,Lotem,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1171
לוטן,לוטן,1255,LOTAN                                             ,6,62,625,53,,1,154,0.2,0.1,,1983                ,330,15,2083243333,127,608,3460,Lotan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1255
לימן,לימן,674,LIMAN                                             ,2,24,245,4,241,1,666,0.7,0.6,,1949                ,310,1,2108977387,15,201,1350,Liman,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=674
לכיש,לכיש,24,LAKHISH                                           ,6,61,612,50,,1,712,0.7,0.7,,1955                ,310,1,1850760772,247,634,3820,Lakhish,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=24
לפיד,לפיד,1310,LAPPID                                            ,4,43,431,25,142,1,2524,2.5,2.5,,1996                ,190,,2032064717,268,424,5290,Lappid,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1310
לפידות,לפידות,1173,LAPPIDOT                                          ,2,24,243,52,,1,121,0.1,0.1,,1978                ,310,1,2248276267,471,255,1320,Lappidot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1173
לקיה,לקיה,1060,LAQYE                                             ,6,62,623,99,341,2,10824,,,10.8,,270,,1873558141,396,653,3481,Laqye,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1060
מאור,מאור,2055,MA'OR                                             ,3,32,324,14,,1,1169,1.2,1.1,,1953                ,310,1,2007970341,32,351,1450,Ma'or,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2055
מאיר שפיה,מאיר שפיה,102,ME'IR SHEFEYA                                     ,3,32,322,15,,1,302,0.3,0.2,,1923                ,340,,1975772192,106,303,1181,Me'ir Shefeya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=102
מבוא ביתר,מבוא ביתר,771,MEVO BETAR                                        ,1,11,111,26,444,1,645,0.6,0.6,,1950                ,320,9,2101162547,752,151,7004,Mevo Betar,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=771
מבוא דותן,מבוא דותן,3569,MEVO DOTAN                                        ,7,71,,72,,1,272,0.3,0.3,,1978                ,370,11,2167470291,329,710,4164,Mevo Dotan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3569
מבוא חורון,מבוא חורון,3709,MEVO HORON                                        ,7,74,,73,,1,2274,2.3,2.3,,1970                ,192,8,2035663942,249,711,4354,Mevo Horon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3709
מבוא חמה,מבוא חמה,4204,MEVO HAMMA                                        ,2,29,294,71,,1,320,0.3,0.3,,1968                ,330,15,2616873804,350,219,1270,Mevo Hamma,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4204
